treatment,outcome,age,income,prior_purchases
1,125.5,35,55000,3
0,85.2,36,54000,3
1,130.8,42,62000,5
0,88.4,43,61000,5
1,145.2,28,48000,2
0,78.6,29,47000,2
1,118.9,55,75000,8
0,95.1,54,76000,8
1,132.4,38,58000,4
0,82.7,39,57000,4
1,128.6,45,68000,6
0,91.2,44,67000,6
1,140.1,32,52000,3
0,80.5,31,53000,3
1,135.7,48,71000,7
0,93.8,47,70000,7
1,122.3,40,60000,5
0,86.9,41,59000,5
1,138.2,33,50000,2
0,79.4,34,51000,2
1,127.8,50,73000,7
0,92.6,49,72000,7
1,131.5,37,56000,4
0,84.3,36,55000,4
1,143.6,30,49000,2
0,77.8,31,48000,2
1,126.9,52,74000,8
0,94.2,51,75000,8
1,134.1,39,59000,5
0,87.5,38,58000,5
1,129.7,46,69000,6
0,90.3,45,68000,6
1,137.4,34,53000,3
0,81.9,35,52000,3
1,141.8,31,50000,2
0,78.2,30,51000,2
1,124.6,53,76000,8
0,95.7,52,75000,8
1,133.2,41,61000,5
0,88.1,40,60000,5

