variable,years,short_desc,long_desc,sources,category,plaintext_cite,bibtex_cite,plaintext_cite2,bibtex_cite2,plaintext_cite3,bibtex_cite3,plaintext_cite4,bibtex_cite4
poptotal,1900-2019,Population total,Total population per state,"U.S. Census Bureau (http://www.census.gov/)
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)
For 2012-2017: U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/",demographics,Stateminder: A data visualization project from Georgetown University. www.stateminder.org (no longer accessible online),"@misc{stateminderNA,
  title={Stateminder.org},
  author={Georgetown University}
}
",NA,NA,NA,NA,NA,NA
popdensity,1975-1999,Population density,Number of people per square mile of land area; population in 1000s divided by land area in square miles (excludes water),"http://www.ipsr.ku.edu/SPPQ/datasets.shtml (data from The Statistical Abstract of the United States, U.S. Census Bureau).  No data were available for the District of Columbia.
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)",demographics,"Ryu, Seung-Hyun. The effect of political ideology of the three branches of state governments and socio-economic factors on the presence of death penalty statutes. Diss. Georgetown University, 2009.","@phdthesis{ryu2009effect,
  title={The effect of political ideology of the three branches of state governments and socio-economic factors on the presence of death penalty statutes},
  author={Ryu, Seung-Hyun},
  year={2009},
  school={Georgetown University}
}",NA,NA,NA,NA,NA,NA
popfemale,"1994-2000, 2002-2010",Female population,The number of residents who are female. Data for 2001 are unavailable.,"CQ Press. 'State Stats: Population under 5 years old.' http://library.cqpress.com/cqresearcher/index.php
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)",demographics,"Morgan, K.O.L. and Morgan, S. eds., 2016. State Rankings 2016: A Statistical View of America. CQ Press.","@book{morgan2016state,
  title={State Rankings 2016: A Statistical View of America},
  author={Morgan, Kathleen O'Leary and Morgan, Scott},
  year={2016},
  publisher={CQ Press}
}",NA,NA,NA,NA,NA,NA
pctpopfemale,2012-2017,Female population (percentage),Percentage of the state's population that is female,"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/",demographics,"Hamilton, Gregory L., and Blake Hamilton. Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis. Institute for Economic Advancement, University of Arkansas at Little Rock, 2017.","@book{hamilton2017economic,
  title={Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis},
  author={Hamilton, Gregory L and Hamilton, Blake},
  year={2017},
  publisher={Institute for Economic Advancement, University of Arkansas at Little Rock}
}",NA,NA,NA,NA,NA,NA
popmale,"1994-2000, 2002-2010",Male population,The number of residents who are male. Data for 2001 are unavailable.,"CQ Press. 'State Stats: Population under 5 years old.' http://library.cqpress.com/cqresearcher/index.php
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)",demographics,"Morgan, K.O.L. and Morgan, S. eds., 2016. State Rankings 2016: A Statistical View of America. CQ Press.","@book{morgan2016state,
  title={State Rankings 2016: A Statistical View of America},
  author={Morgan, Kathleen O'Leary and Morgan, Scott},
  year={2016},
  publisher={CQ Press}
}",NA,NA,NA,NA,NA,NA
pctpopmale,2012-2017,Male population (percentage),Percentage of the state's population that is male,"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/",demographics,"Hamilton, Gregory L., and Blake Hamilton. Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis. Institute for Economic Advancement, University of Arkansas at Little Rock, 2017.","@book{hamilton2017economic,
  title={Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis},
  author={Hamilton, Gregory L and Hamilton, Blake},
  year={2017},
  publisher={Institute for Economic Advancement, University of Arkansas at Little Rock}
}",NA,NA,NA,NA,NA,NA
popunder5,"1994-2000, 2002-2010",Population under 5 years old,The number of residents under the age of five in a state. Data for 2001 are unavailable.,"CQ Press. 'State Stats: Population under 5 years old.' http://library.cqpress.com/cqresearcher/index.php
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)",demographics,"Morgan, K.O.L. and Morgan, S. eds., 2016. State Rankings 2016: A Statistical View of America. CQ Press.","@book{morgan2016state,
  title={State Rankings 2016: A Statistical View of America},
  author={Morgan, Kathleen O'Leary and Morgan, Scott},
  year={2016},
  publisher={CQ Press}
}",NA,NA,NA,NA,NA,NA
pctpopunder14,2013-2017,Population under 14 years old (percentage),Percentage of the state's population aged 14 years or younger,"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/",demographics,"Hamilton, Gregory L., and Blake Hamilton. Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis. Institute for Economic Advancement, University of Arkansas at Little Rock, 2017.","@book{hamilton2017economic,
  title={Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis},
  author={Hamilton, Gregory L and Hamilton, Blake},
  year={2017},
  publisher={Institute for Economic Advancement, University of Arkansas at Little Rock}
}",NA,NA,NA,NA,NA,NA
pop5to17,"1994-2000, 2002-2010",Population from 5 years old to 17 years old,The number of residents between the ages of 5 and 17 in a state. Data for 2001 are unavailable.,"CQ Press. 'State Stats: Population under 5 years old.' http://library.cqpress.com/cqresearcher/index.php
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)",demographics,"Morgan, K.O.L. and Morgan, S. eds., 2016. State Rankings 2016: A Statistical View of America. CQ Press.","@book{morgan2016state,
  title={State Rankings 2016: A Statistical View of America},
  author={Morgan, Kathleen O'Leary and Morgan, Scott},
  year={2016},
  publisher={CQ Press}
}",NA,NA,NA,NA,NA,NA
pop18to24,"1994-2000, 2002-2010",Population from 18 years old to 24 years old,The number of residents between the ages of 18 and 24 in a state. Data for 2001 are unavailable.,"CQ Press. 'State Stats: Population under 5 years old.' http://library.cqpress.com/cqresearcher/index.php
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)",demographics,"Morgan, K.O.L. and Morgan, S. eds., 2016. State Rankings 2016: A Statistical View of America. CQ Press.","@book{morgan2016state,
  title={State Rankings 2016: A Statistical View of America},
  author={Morgan, Kathleen O'Leary and Morgan, Scott},
  year={2016},
  publisher={CQ Press}
}",NA,NA,NA,NA,NA,NA
pctpop15to24,2013-2017,Population between the ages of 15 and 24 (percentage),Percentage of the state's population between the ages of 15 and 24,"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/",demographics,"Hamilton, Gregory L., and Blake Hamilton. Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis. Institute for Economic Advancement, University of Arkansas at Little Rock, 2017.","@book{hamilton2017economic,
  title={Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis},
  author={Hamilton, Gregory L and Hamilton, Blake},
  year={2017},
  publisher={Institute for Economic Advancement, University of Arkansas at Little Rock}
}",NA,NA,NA,NA,NA,NA
pop25to44,"1994-2000, 2002-2010",Population from 25 years old to 44 years old,The number of residents between the ages of 25 and 44 in a state. Data for 2001 are unavailable.,"CQ Press. 'State Stats: Population under 5 years old.' http://library.cqpress.com/cqresearcher/index.php
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)",demographics,"Morgan, K.O.L. and Morgan, S. eds., 2016. State Rankings 2016: A Statistical View of America. CQ Press.","@book{morgan2016state,
  title={State Rankings 2016: A Statistical View of America},
  author={Morgan, Kathleen O'Leary and Morgan, Scott},
  year={2016},
  publisher={CQ Press}
}",NA,NA,NA,NA,NA,NA
pctpop25to44,2013-2017,Population between the ages of 25 and 44 (percentage),Percentage of the state's population between the ages of 25 and 44,"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/",demographics,"Hamilton, Gregory L., and Blake Hamilton. Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis. Institute for Economic Advancement, University of Arkansas at Little Rock, 2017.","@book{hamilton2017economic,
  title={Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis},
  author={Hamilton, Gregory L and Hamilton, Blake},
  year={2017},
  publisher={Institute for Economic Advancement, University of Arkansas at Little Rock}
}",NA,NA,NA,NA,NA,NA
pop45to64,"1994-1996, 1998-2000, 2002-2010",Population from 45 years old to 64 years old,The number of residents between the ages of 45 and 64 in a state. Data for 2001 are unavailable.,"CQ Press. 'State Stats: Population under 5 years old.' http://library.cqpress.com/cqresearcher/index.php
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)",demographics,"Morgan, K.O.L. and Morgan, S. eds., 2016. State Rankings 2016: A Statistical View of America. CQ Press.","@book{morgan2016state,
  title={State Rankings 2016: A Statistical View of America},
  author={Morgan, Kathleen O'Leary and Morgan, Scott},
  year={2016},
  publisher={CQ Press}
}",NA,NA,NA,NA,NA,NA
pctpop45to64,2013-2017,Population between the ages of 45 and 64 (percentage),Percentage of the state's population between the ages of 45 and 64,"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/",demographics,"Hamilton, Gregory L., and Blake Hamilton. Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis. Institute for Economic Advancement, University of Arkansas at Little Rock, 2017.","@book{hamilton2017economic,
  title={Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis},
  author={Hamilton, Gregory L and Hamilton, Blake},
  year={2017},
  publisher={Institute for Economic Advancement, University of Arkansas at Little Rock}
}",NA,NA,NA,NA,NA,NA
popover65,"1994-2000, 2002-2010",Population from 65 years old and older,The number of residents over the age of 65 in a state. Data for 2001 are unavailable.,"CQ Press. 'State Stats: Population under 5 years old.' http://library.cqpress.com/cqresearcher/index.php
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)",demographics,"Morgan, K.O.L. and Morgan, S. eds., 2016. State Rankings 2016: A Statistical View of America. CQ Press.","@book{morgan2016state,
  title={State Rankings 2016: A Statistical View of America},
  author={Morgan, Kathleen O'Leary and Morgan, Scott},
  year={2016},
  publisher={CQ Press}
}",NA,NA,NA,NA,NA,NA
pctpopover65,2013-2017,Population over 65 years old (percentage),Percentage of the state's population over the age of 65,"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/",demographics,"Hamilton, Gregory L., and Blake Hamilton. Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis. Institute for Economic Advancement, University of Arkansas at Little Rock, 2017.","@book{hamilton2017economic,
  title={Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis},
  author={Hamilton, Gregory L and Hamilton, Blake},
  year={2017},
  publisher={Institute for Economic Advancement, University of Arkansas at Little Rock}
}",NA,NA,NA,NA,NA,NA
pctpopover18,2013-2017,Population over 18 years old (percentage),Percentage of the state's population over the age of 18,"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/",demographics,"Hamilton, Gregory L., and Blake Hamilton. Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis. Institute for Economic Advancement, University of Arkansas at Little Rock, 2017.","@book{hamilton2017economic,
  title={Economic Consequences of the Earned Income Tax Credit in Arkansas: An Analysis},
  author={Hamilton, Gregory L and Hamilton, Blake},
  year={2017},
  publisher={Institute for Economic Advancement, University of Arkansas at Little Rock}
}",NA,NA,NA,NA,NA,NA
popover85,"1995-2000, 2002-2010",Population from 85 years old and older,The number of residents over the age of 85 in a state. Data for 2001 are unavailable.,"CQ Press. 'State Stats: Population under 5 years old.' http://library.cqpress.com/cqresearcher/index.php
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)",demographics,"Morgan, K.O.L. and Morgan, S. eds., 2016. State Rankings 2016: A Statistical View of America. CQ Press.","@book{morgan2016state,
  title={State Rankings 2016: A Statistical View of America},
  author={Morgan, Kathleen O'Leary and Morgan, Scott},
  year={2016},
  publisher={CQ Press}
}",NA,NA,NA,NA,NA,NA
